,Bits,Before,After
0,00110100,3,3
1,01101100,-1,3
2,00110101,2,0
3,11110101,0,-1
4,11100001,-1,2
5,11001000,3,3
6,01010001,0,3
7,00100101,-1,2
8,01110001,3,3
9,01111100,-1,3
10,11001100,3,3
11,00100100,-1,2
12,01100100,-1,0
13,11101001,-1,3
14,11000100,-1,3
15,11100100,-1,3
16,11101000,-1,3
17,01001100,1,3
18,10001000,1,-1
19,00001100,4,4
20,11011001,-1,1
21,01100000,-1,2
22,11010101,0,-1
23,10001110,3,-1
24,01010100,0,3
25,10000100,-1,3
26,01011001,1,1
27,01110100,-1,3
28,00010000,1,-1
29,00011100,4,1
30,00010001,-1,1
31,00110000,3,3
32,10011000,1,-1
33,01001000,1,-1
34,01110000,3,3
35,00111100,-1,1
36,00010101,1,1
37,01011100,4,1
38,01011101,1,1
39,10011100,4,1
40,01010101,0,3
41,11101100,-1,3
42,01110101,2,0
43,00010100,4,1
44,01010000,3,-1
45,10001100,4,4
46,01011000,1,1
47,11010001,0,3
48,11011100,1,1
49,11011000,1,1
50,01100001,-1,2
51,00100001,-1,2
52,00000100,-1,3
53,00011101,4,1
54,00100000,-1,2
55,01101000,-1,3
56,00101100,-1,3
57,00110001,0,3
58,11100000,-1,2
